track_index,mean_accessibility,max_accessibility,name,ontology_curie,biosample_type
173,0.15015756,23.875,EFO:0005720 DNase-seq,EFO:0005720,cell_line
93,0.12936047,17.875,CL:2000045 DNase-seq,CL:2000045,primary_cell
248,0.07748583,9.75,UBERON:0001875 DNase-seq,UBERON:0001875,tissue
225,0.06615362,7.0,UBERON:0000988 DNase-seq,UBERON:0000988,tissue
247,0.048530467,7.46875,UBERON:0001874 DNase-seq,UBERON:0001874,tissue
143,0.046474833,18.625,EFO:0002793 DNase-seq,EFO:0002793,cell_line
275,0.04598999,14.625,UBERON:0002740 DNase-seq,UBERON:0002740,tissue
290,0.044799384,6.21875,UBERON:0008953 DNase-seq,UBERON:0008953,tissue
274,0.043730907,16.125,UBERON:0002626 DNase-seq,UBERON:0002626,tissue
46,0.04351052,34.0,CL:0002061 DNase-seq,CL:0002061,primary_cell
45,0.043018237,39.0,CL:0002038 DNase-seq,CL:0002038,primary_cell
292,0.042206727,10.125,UBERON:0009834 DNase-seq,UBERON:0009834,tissue
40,0.042052258,18.625,CL:0000913 DNase-seq,CL:0000913,primary_cell
144,0.042021073,18.5,EFO:0002798 DNase-seq,EFO:0002798,cell_line
17,0.041689083,14.625,CL:0000623 DNase-seq,CL:0000623,primary_cell
237,0.039055206,10.875,UBERON:0001322 DNase-seq,UBERON:0001322,tissue
33,0.03887213,17.375,CL:0000897 DNase-seq,CL:0000897,primary_cell
114,0.038725935,20.625,EFO:0001221 DNase-seq,EFO:0001221,cell_line
265,0.03853659,5.0625,UBERON:0002168 DNase-seq,UBERON:0002168,tissue
217,0.038368672,17.875,UBERON:0000473 DNase-seq,UBERON:0000473,tissue
1,0.0376003,24.125,CL:0000084 DNase-seq,CL:0000084,primary_cell
39,0.03723922,21.125,CL:0000909 DNase-seq,CL:0000909,primary_cell
37,0.03719931,20.25,CL:0000905 DNase-seq,CL:0000905,primary_cell
25,0.036980145,8.25,CL:0000787 DNase-seq,CL:0000787,primary_cell
38,0.03632479,9.0,CL:0000907 DNase-seq,CL:0000907,primary_cell
26,0.036115427,15.875,CL:0000788 DNase-seq,CL:0000788,primary_cell
42,0.036097337,22.625,CL:0001044 DNase-seq,CL:0001044,primary_cell
18,0.03604807,24.375,CL:0000624 DNase-seq,CL:0000624,primary_cell
187,0.035822872,18.375,EFO:0007074 DNase-seq,EFO:0007074,cell_line
181,0.035729684,12.1875,EFO:0005903 DNase-seq,EFO:0005903,cell_line
11,0.035581596,9.9375,CL:0000236 DNase-seq,CL:0000236,primary_cell
35,0.035373613,20.375,CL:0000900 DNase-seq,CL:0000900,primary_cell
