name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,data_source,endedness,genetically_modified,nonzero_mean,track_index,sequence_name,mean_accessibility,max_accessibility
UBERON:0001875 DNase-seq,.,DNase-seq,UBERON:0001875,globus pallidus,tissue,adult,encode,paired,False,0.6928175687789917,248,MM-EFS-1,0.17324403,9.0625
UBERON:0000988 DNase-seq,.,DNase-seq,UBERON:0000988,pons,tissue,adult,encode,paired,False,0.4579213261604309,225,MM-EFS-1,0.12799777,6.59375
EFO:0005720 DNase-seq,.,DNase-seq,EFO:0005720,SK-MEL-5,cell_line,adult,encode,paired,False,0.6427146196365356,173,MM-EFS-1,0.11034272,10.1875
UBERON:0001874 DNase-seq,.,DNase-seq,UBERON:0001874,putamen,tissue,adult,encode,paired,False,1.0092743635177612,247,MM-EFS-1,0.10693799,6.9375
CL:2000045 DNase-seq,.,DNase-seq,CL:2000045,foreskin melanocyte,primary_cell,newborn,encode,single,False,1.6665078401565552,93,MM-EFS-1,0.09826476,10.625
UBERON:0002626 DNase-seq,.,DNase-seq,UBERON:0002626,head of caudate nucleus,tissue,adult,encode,paired,False,0.10091119259595871,274,MM-EFS-1,0.08674037,14.5625
UBERON:0002740 DNase-seq,.,DNase-seq,UBERON:0002740,posterior cingulate gyrus,tissue,adult,encode,paired,False,0.3267453908920288,275,MM-EFS-1,0.0852341,13.375
UBERON:0009834 DNase-seq,.,DNase-seq,UBERON:0009834,dorsolateral prefrontal cortex,tissue,adult,encode,paired,False,0.20427392423152924,292,MM-EFS-1,0.07560645,9.125
UBERON:0001954 DNase-seq,.,DNase-seq,UBERON:0001954,Ammon's horn,tissue,adult,encode,paired,False,0.5017354488372803,249,MM-EFS-1,0.064873815,6.59375
EFO:0002793 DNase-seq,.,DNase-seq,EFO:0002793,HL-60,cell_line,adult,encode,paired,False,0.4432883858680725,143,MM-EFS-1,0.060217034,17.75
EFO:0005720 DNase-seq,.,DNase-seq,EFO:0005720,SK-MEL-5,cell_line,adult,encode,paired,False,0.6427146196365356,173,MM-EFS-10,0.113777414,8.6875
CL:2000045 DNase-seq,.,DNase-seq,CL:2000045,foreskin melanocyte,primary_cell,newborn,encode,single,False,1.6665078401565552,93,MM-EFS-10,0.102522396,9.4375
CL:0002038 DNase-seq,.,DNase-seq,CL:0002038,T follicular helper cell,primary_cell,adult,encode,paired,False,4.746370315551758,45,MM-EFS-10,0.05086153,30.125
EFO:0002793 DNase-seq,.,DNase-seq,EFO:0002793,HL-60,cell_line,adult,encode,paired,False,0.4432883858680725,143,MM-EFS-10,0.050814494,14.875
CL:0002061 DNase-seq,.,DNase-seq,CL:0002061,T-helper 9 cell,primary_cell,adult,encode,paired,False,2.6681625843048096,46,MM-EFS-10,0.05074457,27.375
UBERON:0008953 DNase-seq,.,DNase-seq,UBERON:0008953,lower lobe of left lung,tissue,adult,encode,paired,False,0.6039119958877563,290,MM-EFS-10,0.049622227,4.5
CL:0000913 DNase-seq,.,DNase-seq,CL:0000913,"effector memory CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,0.5821823477745056,40,MM-EFS-10,0.047659367,14.3125
CL:0000623 DNase-seq,.,DNase-seq,CL:0000623,natural killer cell,primary_cell,adult,encode,paired,False,1.329219102859497,17,MM-EFS-10,0.047142856,11.6875
CL:0000897 DNase-seq,.,DNase-seq,CL:0000897,"CD4-positive, alpha-beta memory T cell",primary_cell,adult,encode,paired,False,3.524648904800415,33,MM-EFS-10,0.045470886,14.0625
CL:0000905 DNase-seq,.,DNase-seq,CL:0000905,"effector memory CD4-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,1.3759067058563232,37,MM-EFS-10,0.04514824,16.625
EFO:0005720 DNase-seq,.,DNase-seq,EFO:0005720,SK-MEL-5,cell_line,adult,encode,paired,False,0.6427146196365356,173,MM-EFS-2,0.1767642,12.0625
CL:2000045 DNase-seq,.,DNase-seq,CL:2000045,foreskin melanocyte,primary_cell,newborn,encode,single,False,1.6665078401565552,93,MM-EFS-2,0.1587947,12.0
UBERON:0001875 DNase-seq,.,DNase-seq,UBERON:0001875,globus pallidus,tissue,adult,encode,paired,False,0.6928175687789917,248,MM-EFS-2,0.046068862,4.25
UBERON:0000988 DNase-seq,.,DNase-seq,UBERON:0000988,pons,tissue,adult,encode,paired,False,0.4579213261604309,225,MM-EFS-2,0.044329524,3.6875
UBERON:0008953 DNase-seq,.,DNase-seq,UBERON:0008953,lower lobe of left lung,tissue,adult,encode,paired,False,0.6039119958877563,290,MM-EFS-2,0.043619033,3.515625
EFO:0002793 DNase-seq,.,DNase-seq,EFO:0002793,HL-60,cell_line,adult,encode,paired,False,0.4432883858680725,143,MM-EFS-2,0.042218857,12.4375
CL:0000913 DNase-seq,.,DNase-seq,CL:0000913,"effector memory CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,0.5821823477745056,40,MM-EFS-2,0.039057467,11.6875
CL:0000623 DNase-seq,.,DNase-seq,CL:0000623,natural killer cell,primary_cell,adult,encode,paired,False,1.329219102859497,17,MM-EFS-2,0.039042182,9.625
CL:0002061 DNase-seq,.,DNase-seq,CL:0002061,T-helper 9 cell,primary_cell,adult,encode,paired,False,2.6681625843048096,46,MM-EFS-2,0.03886129,22.0
CL:0002038 DNase-seq,.,DNase-seq,CL:0002038,T follicular helper cell,primary_cell,adult,encode,paired,False,4.746370315551758,45,MM-EFS-2,0.037826464,23.625
